stratum	transect	lat	lon	country
1	1	62.088	-2.921	EU
1	1	62.088	4.567	EU
1	2	62.800	5.716	EU
1	2	62.800	-1.969	EU
1	3	63.512	-1.017	EU
1	3	63.512	7.337	EU
1	4	64.224	8.698	NO
1	4	64.224	-0.489	NO
1	5	64.936	0.000	NO
1	5	64.936	10.126	NO
1	6	65.648	10.833	EU
1	6	65.648	0.000	EU
1	7	66.360	0.000	EU
1	7	66.360	11.342	EU
1	8	67.072	11.704	EU
1	8	67.072	0.000	EU
1	9	67.784	0.000	NO
1	9	67.784	12.138	NO
1	10	68.496	13.421	NO
1	10	68.496	0.000	NO
1	11	69.208	0.000	NO
1	11	69.208	15.103	NO
1	12	69.920	17.774	NO
1	12	69.920	0.000	NO
2	1	70.217	4.347	EU
2	1	70.217	18.386	EU
2	2	71.018	20.000	NO
2	2	71.018	5.629	NO
2	3	71.819	6.910	NO
2	3	71.819	20.000	NO
2	4	72.619	20.000	NO
2	4	72.619	8.191	NO
2	5	73.420	9.472	NO
2	5	73.420	20.000	NO
2	6	74.221	18.000	NO
2	6	74.221	10.753	NO
3	1	62.242	-6.000	FO
3	1	62.242	-2.715	FO
3	2	62.900	-1.836	FO
3	2	62.900	-9.598	FO
3	3	63.557	-9.443	FO
3	3	63.557	-0.956	FO
3	4	64.214	-0.490	FO
3	4	64.214	-8.786	FO
3	5	64.872	-8.128	NO
3	5	64.872	0.000	NO
3	6	65.529	0.000	FO
3	6	65.529	-7.471	FO
3	7	66.187	-6.813	FO
3	7	66.187	0.000	FO
3	8	66.844	0.000	IS
3	8	66.844	-6.156	IS
3	9	67.502	-5.498	NO
3	9	67.502	0.000	NO
4	1	62.085	-12.170	IS
4	1	62.085	-8.000	IS
4	2	62.775	-9.099	IS
4	2	62.775	-13.550	IS
4	3	63.465	-14.000	IS
4	3	63.465	-9.535	IS
4	4	64.155	-8.845	IS
4	4	64.155	-13.845	IS
4	5	64.844	-13.156	NO
4	5	64.844	-8.156	NO
4	6	65.534	-7.466	IS
4	6	65.534	-13.386	IS
4	7	66.224	-13.884	IS
4	7	66.224	-6.776	IS
4	8	66.914	-6.086	IS
4	8	66.914	-13.561	IS
4	9	67.604	-12.988	NO
4	9	67.604	-5.396	NO
4	10	68.294	0.000	IS
4	10	68.294	-12.416	IS
4	11	68.984	-11.843	IS
4	11	68.984	0.000	IS
4	12	69.674	0.000	IS
4	12	69.674	-11.271	IS
5	1	70.470	4.753	EU
5	1	70.470	-6.746	EU
5	2	71.547	-3.875	NO
5	2	71.547	6.475	NO
5	3	72.623	8.198	NO
5	3	72.623	-1.004	NO
5	4	73.700	3.500	NO
5	4	73.700	9.920	NO
5	5	74.777	11.643	NO
5	5	74.777	8.883	NO
6	1	74.000	20.654	RU
6	1	70.583	20.654	RU
6	2	70.737	21.900	RU
6	2	74.000	21.900	RU
6	3	74.000	23.147	RU
6	3	71.009	23.147	RU
6	4	71.176	24.394	RU
6	4	74.000	24.394	RU
6	5	74.000	25.641	RU
6	5	71.251	25.641	RU
6	6	71.223	26.888	RU
6	6	74.000	26.888	RU
6	7	74.000	28.135	RU
6	7	71.172	28.135	RU
6	8	70.905	29.382	RU
6	8	74.000	29.382	RU
6	9	74.000	30.629	RU
6	9	70.643	30.629	RU
6	10	70.141	31.876	RU
6	10	74.000	31.876	RU
6	11	74.000	33.123	RU
6	11	69.961	33.123	RU
6	12	69.543	34.370	RU
6	12	73.000	34.370	RU
6	13	73.000	35.617	RU
6	13	69.427	35.617	RU
6	14	69.187	36.864	RU
6	14	73.000	36.864	RU
6	15	73.000	38.111	RU
6	15	68.852	38.111	RU
6	16	68.416	39.358	RU
6	16	73.000	39.358	RU
